29.8063,29.681,29.5465,29.4,29.1517,28.8997,28.6316,28.3507,28.0353,27.7007,27.4069,27.1529,26.9649,26.7654,26.5409,26.3075,26.1205,26.0425,25.8961,25.6421,25.4287,25.2447,25.089,25.0364,24.9645,24.922,24.8469,24.7056,24.4944,24.2563,24.1685,24.0965,23.956,23.9514,23.9818,24.0414,24.0693,24.1027,24.1962,24.3707,24.4811,24.6426
29.901,29.7906,29.6768,29.5637,29.3464,29.1095,28.8829,28.5876,28.2707,27.9523,27.6702,27.4168,27.2109,26.9743,26.7116,26.4557,26.284,26.1611,26.0022,25.7559,25.5357,25.3104,25.1354,25.1012,24.9985,24.9531,24.864,24.7322,24.5395,24.2837,24.1584,24.0531,23.9131,23.8682,23.8685,23.9038,23.893,23.9309,24.0231,24.1314,24.2261,24.4082
29.9115,29.8028,29.6913,29.5819,29.368,29.1328,28.9108,28.6139,28.2969,27.9803,27.6994,27.4461,27.2382,26.9975,26.7305,26.4722,26.3021,26.1742,26.014,25.7686,25.5476,25.3177,25.1406,25.1084,25.0023,24.9565,24.866,24.7351,24.5445,24.2868,24.1573,24.0483,23.9083,23.8589,23.8559,23.8885,23.8734,23.9119,24.0039,24.1048,24.1978,24.3821
29.9602,29.8787,29.8044,29.6932,29.5097,29.329,29.1397,28.8399,28.5625,28.2612,28.0011,27.767,27.5479,27.2788,26.9811,26.7153,26.5219,26.3657,26.2129,25.9742,25.7401,25.5191,25.3431,25.2687,25.1297,25.0682,24.969,24.8752,24.7188,24.4686,24.3206,24.1709,24.016,23.9674,23.9389,23.9609,23.9725,24.0192,24.0724,24.1482,24.2796,24.5259
29.9724,29.8977,29.8327,29.721,29.5451,29.3781,29.197,28.8965,28.629,28.3315,28.0765,27.8473,27.6253,27.3491,27.0437,26.776,26.5768,26.4136,26.2626,26.0255,25.7882,25.5695,25.3937,25.3088,25.1616,25.0961,24.9947,24.9103,24.7624,24.514,24.3614,24.2015,24.0429,23.9945,23.9597,23.979,23.9973,24.046,24.0895,24.159,24.3001,24.5618
30.0047,29.9385,29.8963,29.807,29.6568,29.5276,29.3773,29.1003,28.863,28.586,28.3551,28.1531,27.9442,27.6419,27.3241,27.0461,26.8278,26.6506,26.5109,26.2782,26.0387,25.8274,25.676,25.5301,25.3819,25.3137,25.1977,25.1012,24.9607,24.7414,24.5743,24.3932,24.2528,24.1763,24.1041,24.1012,24.1196,24.185,24.2158,24.3006,24.5042,24.7964
30.0185,29.956,29.9235,29.8439,29.7046,29.5917,29.4545,29.1877,28.9634,28.695,28.4744,28.2842,28.0809,27.7673,27.4443,27.1618,26.9353,26.7522,26.6173,26.3865,26.1461,25.9379,25.797,25.625,25.4763,25.407,25.2846,25.1831,25.0456,24.8388,24.6655,24.4754,24.3427,24.2542,24.166,24.1536,24.1721,24.2445,24.27,24.3613,24.5917,24.897
30.0275,29.9741,29.9309,29.8898,29.7789,29.6963,29.5633,29.3344,29.1309,28.8941,28.7011,28.5088,28.3207,28.0134,27.6929,27.4022,27.1686,26.9879,26.8492,26.6305,26.4096,26.2039,26.0918,25.9031,25.7329,25.6265,25.4881,25.379,25.2484,25.0427,24.8565,24.6699,24.5274,24.408,24.3049,24.2545,24.2632,24.3332,24.3732,24.4913,24.7629,25.0591
30.0335,29.9863,29.9358,29.9205,29.8284,29.7661,29.6357,29.4322,29.2425,29.0268,28.8523,28.6585,28.4806,28.1775,27.8585,27.5624,27.3241,27.1451,27.0039,26.7931,26.5853,26.3812,26.2883,26.0886,25.904,25.7728,25.6238,25.5096,25.3836,25.1786,24.9839,24.7996,24.6505,24.5106,24.3974,24.3217,24.3239,24.3923,24.442,24.578,24.877,25.1672
30.0363,29.9928,29.9462,29.9416,29.8817,29.8195,29.6891,29.5107,29.3386,29.1591,29.0039,28.8073,28.634,28.348,28.0546,27.7766,27.5249,27.3488,27.206,27.0168,26.8302,26.6286,26.5268,26.3332,26.127,25.9625,25.8108,25.6762,25.5225,25.3257,25.1534,24.9608,24.7847,24.6304,24.4945,24.3962,24.3794,24.4134,24.4826,24.6464,24.9638,25.263
30.0391,29.9994,29.9566,29.9628,29.935,29.873,29.7425,29.5893,29.4346,29.2915,29.1555,28.9561,28.7873,28.5185,28.2507,27.9909,27.7258,27.5526,27.4082,27.2404,27.0751,26.876,26.7652,26.5777,26.35,26.1522,25.9978,25.8429,25.6613,25.4727,25.3229,25.1219,24.9189,24.7502,24.5915,24.4706,24.4349,24.4346,24.5232,24.7147,25.0507,25.3588
30.0524,30.0179,29.9791,29.9738,29.9692,29.908,29.7693,29.6397,29.4972,29.3734,29.2527,29.0714,28.9052,28.643,28.3951,28.1516,27.8879,27.7105,27.5528,27.4018,27.2523,27.0712,26.9481,26.7517,26.5227,26.3045,26.1263,25.9629,25.771,25.58,25.4298,25.2218,25.0165,24.8354,24.6521,24.504,24.4475,24.4293,24.5127,24.7119,25.0374,25.3461
30.0723,30.0456,30.0129,29.9905,30.0203,29.9606,29.8094,29.7152,29.591,29.4963,29.3985,29.2443,29.082,28.8298,28.6116,28.3928,28.1312,27.9474,27.7696,27.6439,27.5181,27.3642,27.2224,27.0126,26.7819,26.5331,26.3192,26.143,25.9355,25.741,25.5901,25.3715,25.1629,24.9632,24.743,24.5542,24.4665,24.4215,24.4969,24.7077,25.0175,25.3271
30.0855,30.0598,30.0273,29.9958,30.0383,29.9734,29.8263,29.7401,29.6226,29.5378,29.4423,29.3076,29.1538,28.9176,28.7095,28.5022,28.2466,28.0573,27.8699,27.74,27.6195,27.4721,27.3262,27.112,26.8852,26.6355,26.4032,26.218,26.0144,25.8075,25.636,25.4206,25.2039,24.9971,24.7653,24.5646,24.4477,24.3923,24.4597,24.6552,24.9549,25.2692
